experiment_id,experiment_date,material_a_ratio,material_b_ratio,temperature,pressure,tensile_strength,elongation,hardness,result_grade
EXP-00001,2025-02-10,0.27,0.73,173,93,38.3,23.5,77,B
EXP-00002,2025-12-19,0.63,0.37,185,82,50.2,15.6,75,B
EXP-00003,2025-10-26,0.71,0.29,236,44,45.3,17.4,71,B
EXP-00004,2025-07-20,0.23,0.77,160,100,39.8,24.7,76,B
EXP-00005,2025-07-17,0.14,0.86,160,100,36.5,19.1,68,C
EXP-00006,2026-01-27,0.45,0.55,180,32,41.0,18.7,67,B
EXP-00007,2025-02-09,0.72,0.28,210,31,45.8,13.8,75,B
EXP-00008,2025-11-14,0.62,0.38,231,47,42.9,16.2,80,B
EXP-00009,2025-04-02,0.66,0.34,206,86,57.0,10.5,80,A
EXP-00010,2025-02-12,0.42,0.58,199,72,46.8,15.7,76,B
EXP-00011,2025-08-29,0.29,0.71,237,66,33.9,19.7,64,C
EXP-00012,2026-03-21,0.53,0.47,167,59,47.3,15.7,76,B
EXP-00013,2025-12-02,0.26,0.74,241,64,34.7,23.9,71,C
EXP-00014,2025-12-14,0.68,0.32,181,75,52.3,11.5,87,A
EXP-00015,2025-11-24,0.26,0.74,177,34,36.7,20.7,57,C
EXP-00016,2025-12-25,0.33,0.67,246,71,44.0,17.1,69,B
EXP-00017,2025-08-23,0.51,0.49,215,45,40.3,15.8,78,B
EXP-00018,2025-02-28,0.49,0.51,193,85,49.4,14.8,81,A
EXP-00019,2026-01-18,0.58,0.42,183,43,46.3,16.0,73,B
EXP-00020,2025-07-25,0.45,0.55,194,35,46.9,18.9,69,B
EXP-00021,2025-08-17,0.84,0.16,229,60,49.3,9.4,85,A
EXP-00022,2025-06-19,0.77,0.23,165,61,54.1,11.0,81,A
EXP-00023,2025-03-25,0.8,0.2,167,66,53.9,13.2,86,A
EXP-00024,2026-02-27,0.6,0.4,180,91,48.7,12.0,84,A
EXP-00025,2025-12-23,0.61,0.39,198,79,59.5,13.6,76,B
EXP-00026,2025-10-21,0.59,0.41,232,55,44.7,14.8,74,B
EXP-00027,2025-07-03,0.45,0.55,171,81,43.3,18.9,74,B
EXP-00028,2026-01-11,0.36,0.64,229,65,40.5,18.8,70,B
EXP-00029,2025-09-06,0.57,0.43,241,45,42.5,17.5,75,B
EXP-00030,2025-07-22,0.12,0.88,193,31,36.8,26.0,59,C
EXP-00031,2025-07-25,0.11,0.89,247,30,34.4,23.3,55,C
EXP-00032,2025-04-14,0.78,0.22,240,45,46.8,15.2,86,B
EXP-00033,2025-02-12,0.14,0.86,230,88,39.5,22.3,67,B
EXP-00034,2025-09-10,0.52,0.48,188,62,45.8,14.5,81,B
EXP-00035,2026-02-09,0.59,0.41,180,62,55.4,12.2,83,A
EXP-00036,2025-01-30,0.26,0.74,237,58,42.9,19.1,62,C
EXP-00037,2026-01-27,0.82,0.18,194,48,58.4,6.5,80,A
EXP-00038,2026-01-13,0.25,0.75,153,80,38.8,21.8,68,B
EXP-00039,2025-05-07,0.81,0.19,222,30,48.2,13.8,80,A
EXP-00040,2025-10-16,0.71,0.29,185,73,52.9,13.7,85,A
EXP-00041,2025-03-17,0.29,0.71,244,96,38.2,23.5,74,B
EXP-00042,2025-12-12,0.22,0.78,236,92,31.6,25.2,68,C
EXP-00043,2025-11-16,0.35,0.65,160,56,44.7,16.9,76,B
EXP-00044,2025-06-11,0.42,0.58,241,90,44.2,16.8,74,B
EXP-00045,2025-01-31,0.3,0.7,245,46,31.3,24.3,69,C
EXP-00046,2026-03-19,0.9,0.1,226,47,52.3,11.1,84,A
EXP-00047,2025-07-23,0.28,0.72,177,54,40.0,20.2,66,B
EXP-00048,2026-02-12,0.76,0.24,217,31,47.6,11.4,80,B
EXP-00049,2025-11-06,0.23,0.77,237,48,37.5,20.4,70,C
EXP-00050,2025-12-21,0.88,0.12,232,90,44.6,14.0,91,B
EXP-00051,2025-12-13,0.28,0.72,193,84,42.3,15.6,69,B
EXP-00052,2025-03-30,0.44,0.56,221,53,42.0,13.3,77,B
EXP-00053,2025-06-15,0.55,0.45,188,52,49.0,16.2,76,B
EXP-00054,2025-08-01,0.2,0.8,175,54,33.7,21.8,65,C
EXP-00055,2025-08-15,0.75,0.25,217,38,49.7,13.5,82,A
EXP-00056,2025-01-20,0.32,0.68,197,41,44.2,21.7,67,B
EXP-00057,2025-09-07,0.54,0.46,172,100,49.5,12.7,91,A
EXP-00058,2025-03-12,0.54,0.46,216,79,45.3,12.7,78,B
EXP-00059,2025-12-05,0.58,0.42,182,78,58.0,11.2,84,A
EXP-00060,2025-11-08,0.14,0.86,209,49,33.1,22.3,63,C
EXP-00061,2026-02-25,0.23,0.77,186,90,43.4,19.6,72,B
EXP-00062,2025-12-06,0.23,0.77,239,42,36.3,22.9,62,C
EXP-00063,2025-06-17,0.34,0.66,235,98,46.5,18.3,73,B
EXP-00064,2026-03-18,0.22,0.78,197,65,40.5,20.7,68,B
EXP-00065,2025-07-07,0.84,0.16,221,53,51.8,13.2,80,A
EXP-00066,2025-05-29,0.51,0.49,167,83,47.4,17.0,75,B
EXP-00067,2026-02-17,0.6,0.4,250,59,37.0,17.5,77,C
EXP-00068,2025-06-18,0.39,0.61,171,49,39.3,20.6,74,B
EXP-00069,2025-02-04,0.32,0.68,237,78,38.2,17.2,72,B
EXP-00070,2025-08-03,0.5,0.5,235,81,45.2,18.6,77,B
EXP-00071,2025-12-29,0.34,0.66,167,72,42.2,19.0,67,B
EXP-00072,2025-03-28,0.37,0.63,150,62,39.1,17.2,77,B
EXP-00073,2025-07-31,0.46,0.54,224,53,45.9,15.8,76,B
EXP-00074,2025-03-01,0.5,0.5,237,58,34.9,21.6,79,C
EXP-00075,2025-11-10,0.89,0.11,222,92,48.9,9.9,85,A
EXP-00076,2025-08-05,0.28,0.72,155,55,30.7,23.8,68,C
EXP-00077,2025-05-31,0.49,0.51,215,98,49.5,17.0,76,B
EXP-00078,2025-04-14,0.22,0.78,189,40,38.2,21.4,66,B
EXP-00079,2025-09-15,0.38,0.62,242,41,40.4,17.4,69,B
EXP-00080,2025-11-02,0.67,0.33,230,53,44.4,14.9,80,B
EXP-00081,2026-03-05,0.24,0.76,230,30,38.9,18.1,59,C
EXP-00082,2025-07-19,0.57,0.43,191,92,51.1,13.0,77,B
EXP-00083,2025-03-15,0.43,0.57,182,54,45.8,14.7,68,B
EXP-00084,2026-01-15,0.14,0.86,233,37,35.0,23.0,61,C
EXP-00085,2025-10-15,0.85,0.15,161,73,52.8,8.1,85,A
EXP-00086,2025-11-16,0.43,0.57,160,98,49.0,16.2,79,A
EXP-00087,2025-02-14,0.73,0.27,156,100,44.6,16.6,83,B
EXP-00088,2025-05-23,0.43,0.57,201,37,43.1,20.2,68,B
EXP-00089,2025-12-17,0.85,0.15,157,86,52.0,8.4,94,A
EXP-00090,2026-01-15,0.33,0.67,208,55,41.0,18.1,69,B
